;EN;ES;PT;IT;FR;DE
help_welcome;Welcome! <br><br> With this new version you can <b> share surveys </ b> anywhere! <br> You can use it to vote <b> what to do </ b> with friends or <b> share <b> opinions!;¡Bienvenido! <br><br> Con esta nueva versión puede <b> compartir encuestas </ b> en cualquier lugar! <br> Puedes usarlo para votar <b> qué hacer </ b> con amigos o <b> compartir opiniones <b>!;Bem vinda! <br><br> Com esta nova versão você pode <b> compartilhar pesquisas </ b> em qualquer lugar! <br> Você pode usá-lo para votar <b> o que fazer </ b> com amigos ou <b> compartilhar opiniões <b>!;Benvenuto! <br><br> Con questa nuova versione puoi <b> condividere le indagini </ b> ovunque! <br> Puoi utilizzarlo per votare <b> cosa fare </ b> con gli amici o <b> condividi <b> opinioni!;Bienvenue! <br><br> Avec cette nouvelle version, vous pouvez <b> partager des sondages </ b> n'importe où! <br> Vous pouvez l'utiliser pour voter <b> quoi faire </ b> avec des amis ou <b> partager <b> les opinions!;Herzlich willkommen! <br><br> Mit dieser neuen Version können Sie <b> teilen Umfragen </ b> überall! <br> Sie können es verwenden, um zu wählen <b> was zu tun </ b> mit Freunden oder <b> teilen <b> Meinungen!
help_first;To make a new poll to share, <b>insert</b> text on the <b>first</b> option. ;Para realizar una nueva encuesta para compartir, <b> insertar </ b> texto en la <b> primera </ b> opción.;Para fazer uma nova pesquisa para compartilhar, <b> inserir </ b> texto na opção <b> primeira </ b>.;Per creare un nuovo sondaggio da condividere, inserire <b> inserire </ b> il testo nell'opzione <b> primo </ b>.;Pour faire un nouveau sondage à partager, <b> insérer </ b> texte sur l'option <b> première </ b>.;Um eine neue Umfrage zu machen, <b> einfügen </ b> Text auf die <b> erste </ b> Option.
help_second;Then, <b>Insert</b> text on the <b>second</b> option. ;A continuación, <b> Insertar </ b> texto en la <b> segunda </ b> opción.;Em seguida, <b> Inserir </ b> texto na opção <b> segunda </ b>.;Quindi, <b> Inserisci </ b> testo nell'opzione <b> secondo </ b>.;Ensuite, <b> Insérer </ b> texte sur l'option <b> seconde </ b>.;Dann <b> Einfügen </ b> Text auf die <b> zweite </ b> Option.
help_share;And click on <b>Share</b> button! ;Y haz clic en el botón <b> Compartir </ b>!;E clique no botão <b> Compartilhar </ b>!;E fai clic sul pulsante <b> Condividi </ b>!;Et cliquez sur le bouton <b> Partager </ b>!;Und klicken Sie auf <b> Share </ b> Button!
help_shareDone;And you could <b>share</b> it <b>anywhere</b>!;Y podrías <b> compartir </ b> en <b> cualquier lugar </ b>!;E você poderia <b> compartilhar </ b> <b> em qualquer lugar </ b>!;E tu puoi <b> condividere </ b> <b> ovunque </ b>!;Et vous pourriez <b> partager </ b> il <b> n'importe où </ b>!;Und du kannst <b> teilen </ b> it <b> überall </ b>!
;;;;;;
help_playFunctionality;If you also want to <b>Play</b> the <b>Game</b> of Would you Rather...;Si quieres <b> Jugar </ b> el juego ..;Se você quiser <b> Jogar </ b> o jogo ..;Se vuoi <b> Giocare </ b> il gioco ..;Si vous voulez <b> Jouer </ b> le jeu ..;Wenn du <b> Spiel </ b> das Spiel willst ..
help_play;Click on <b>Play</b> button on header...;Haga clic en el botón superior ...;Clique no botão superior ...;Fai clic sul pulsante superiore ...;Cliquez sur le bouton supérieur ...;Klicken Sie auf die obere Taste ...
help_playScreen;And <b>start</b> to <b>Play</b>! <br>(sharing game polls too!);Y empiece a <b> jugar </ b>! <br> (comparte encuestas de juego también!);E comece a <b> jogar </ b>! <br> (compartilhar sondagens jogo também!);E inizia a <b> giocare </ b>! <br> (condividi anche i sondaggi di gioco!);Et commencez à <b> play </ b>! <br> (partagez les sondages de jeux aussi!);Und fange an <b> spielen </ b>! <br> (teilen Sie die Umfrage auch!)
help_end;Thank you for <b>finish</b> the <b>tutorial</b> :);Gracias por <b> terminar </ b> el <b> tutorial </ b>. ¡Que te diviertas! :);Obrigado por <b> concluir </ b> o <b> tutorial </ b>. Diverta-se! -benzóico.;Grazie per <b> finitura </ b> il <b> tutorial </ b>. Divertiti! :);Merci de <b> terminer </ b> le <b> tutoriel </ b>. S'amuser! :);Vielen Dank für <b> beenden </ b> das <b> Tutorium </ b>. Habe Spaß! :)
 ;;;;;;
